Cod_Dist_A;geometry_pos
1;-23.548454,-46.631698
2;-23.525866,-46.639426
3;-23.542212,-46.639745
4;-23.55058,-46.654335
5;-23.561542,-46.643451
6;-23.574353,-46.622978
7;-23.526359,-46.697489
8;-23.553187,-46.607804
9;-23.506051,-46.610234
10;-23.515369,-46.538127
11;-23.642237,-46.699404
12;-23.53286,-46.616453
13;-23.499162,-46.6433
14;-23.553321,-46.695949
15;-23.580272,-46.678462
16;-23.608311,-46.634179
17;-23.585912,-46.605845
18;-23.567476,-46.595368
19;-23.511667,-46.58486
20;-23.435785,-46.605769
21;-23.540858,-46.514806
22;-23.492335,-46.433904
23;-23.533927,-46.67355
24;-23.507089,-46.507427
25;-23.883672,-46.696497
26;-23.623584,-46.609267
27;-23.621951,-46.665277
28;-23.491149,-46.697149
29;-23.568321,-46.562984
30;-23.548402,-46.564099
31;-23.551671,-46.533879
32;-23.533185,-46.446254
33;-23.486512,-46.746262
34;-23.594789,-46.71463
35;-23.64265,-46.653103
36;-23.587471,-46.646968
37;-23.63565,-46.757858
38;-23.454913,-46.64482
39;-23.481118,-46.59232
40;-23.494253,-46.672599
41;-23.578584,-46.518437
42;-23.594081,-46.547918
43;-23.6629,-46.669264
44;-23.559812,-46.404662
45;-23.46977,-46.692789
46;-23.439442,-46.771577
47;-23.668513,-46.782332
48;-23.708688,-46.690032
49;-23.603056,-46.455236
50;-23.502152,-46.385351
51;-23.571878,-46.7194
52;-23.53204,-46.567019
53;-23.573361,-46.450135
54;-23.603979,-46.412478
55;-23.627411,-46.450157
56;-23.590354,-46.574897
57;-23.56154,-46.583904
58;-23.564926,-46.54074
59;-23.490634,-46.406438
62;-23.495078,-46.482267
63;-23.498831,-46.457548
64;-23.52743,-46.467496
65;-23.54571,-46.480438
66;-23.565825,-46.492655
67;-23.51644,-46.412855
68;-23.534752,-46.410205
69;-23.602377,-46.495778
70;-23.606274,-46.525204
72;-23.445773,-46.662108
73;-23.421925,-46.577469
74;-23.439216,-46.703257
75;-23.5895,-46.77874
77;-23.536187,-46.651614
78;-23.567075,-46.661347
80;-23.678838,-46.669474
81;-23.53469,-46.591307
83;-23.641993,-46.606674
85;-23.760891,-46.702424
87;-23.485097,-46.719399
89;-23.618615,-46.721289
90;-23.505845,-46.564161
91;-23.526512,-46.730734
92;-23.664309,-46.746289
93;-23.54962,-46.743336
95;-23.62143,-46.591319
96;-23.608619,-46.687345
97;-23.65936,-46.634352
98;-23.703757,-46.646658
99;-23.675452,-46.691041
100;-23.709698,-46.75517
101;-23.734125,-46.670393
102;-23.68012,-46.71481
103;-23.544071,-46.434955
